##Type: Total
##Nuclei: Carbon
##Particle: p
##Reference: Sc79
##Mom xsec error
628.4 305 19
684.3 290 22
772.4 281 14
817.2 284 26
879.8 286 26
##881.3 286 23
914.6 293 25
943.0 295 24
1011.0 299 25
1027.3 303 27
1031.3 304 27
1040.8 299 28
1046.1 309 24
1086.1 312 28
1092.7 318 25
1098.0 314 24
1113.7 315 25
#1155.2 324 21
1159.1 324 20
1166.8 322 26

